wiki,language,category,event_count,activity_status
commonswiki,Wikimedia Commons,Media,108,High Activity
wikidatawiki,Wikidata,Knowledge Base,45,High Activity
zhwikisource,Unknown,Unknown,37,High Activity
enwiki,English,General,17,Normal
enwikinews,Unknown,Unknown,6,Normal
ruwiki,Unknown,Unknown,6,Normal
dewiki,German,General,5,Normal
cewiki,Unknown,Unknown,3,Normal
frwiki,French,General,3,Normal
itwikisource,Unknown,Unknown,2,Normal
urwiki,Unknown,Unknown,2,Normal
ttwiki,Unknown,Unknown,2,Normal
itwiki,Italian,General,1,Normal
jawiki,Japanese,General,1,Normal
enwiktionary,Unknown,Unknown,1,Normal
cawiki,Unknown,Unknown,1,Normal
simplewiki,Unknown,Unknown,1,Normal
ptwiki,Unknown,Unknown,1,Normal
jvwikisource,Unknown,Unknown,1,Normal
enwikisource,Unknown,Unknown,1,Normal
svwiki,Unknown,Unknown,1,Normal
hrwiki,Unknown,Unknown,1,Normal
nlwiki,Unknown,Unknown,1,Normal
