wiki,language,category,actor_type,event_count
commonswiki,Wikimedia Commons,Media,Human,59
commonswiki,Wikimedia Commons,Media,Bot,49
zhwikisource,Unknown,Unknown,Bot,37
wikidatawiki,Wikidata,Knowledge Base,Human,35
enwiki,English,General,Human,13
wikidatawiki,Wikidata,Knowledge Base,Bot,10
enwikinews,Unknown,Unknown,Bot,6
ruwiki,Unknown,Unknown,Human,6
dewiki,German,General,Human,5
enwiki,English,General,Bot,4
cewiki,Unknown,Unknown,Bot,3
frwiki,French,General,Human,3
ttwiki,Unknown,Unknown,Bot,2
itwikisource,Unknown,Unknown,Bot,2
urwiki,Unknown,Unknown,Bot,2
enwikisource,Unknown,Unknown,Human,1
svwiki,Unknown,Unknown,Human,1
ptwiki,Unknown,Unknown,Human,1
itwiki,Italian,General,Human,1
jvwikisource,Unknown,Unknown,Human,1
hrwiki,Unknown,Unknown,Bot,1
nlwiki,Unknown,Unknown,Bot,1
enwiktionary,Unknown,Unknown,Human,1
cawiki,Unknown,Unknown,Bot,1
simplewiki,Unknown,Unknown,Human,1
jawiki,Japanese,General,Bot,1
